iter	Passed	Remaining
637	1083	614
638	1084	612
639	1086	611
640	1087	609
641	1089	607
642	1090	605
643	1092	603
644	1093	602
645	1095	600
646	1097	598
647	1099	597
648	1100	595
649	1102	593
650	1103	591
651	1105	589
652	1106	588
653	1108	586
654	1109	584
655	1111	582
656	1112	580
657	1114	579
658	1115	577
659	1117	575
660	1118	573
661	1120	571
662	1121	570
663	1123	568
664	1124	566
665	1125	564
666	1127	562
667	1128	561
668	1130	559
669	1131	557
670	1133	555
671	1134	553
672	1136	552
673	1138	550
674	1139	548
675	1141	546
676	1142	545
677	1144	543
678	1145	541
679	1147	539
680	1148	538
681	1150	536
682	1151	534
683	1153	532
684	1154	530
685	1156	529
686	1157	527
687	1159	525
688	1160	523
689	1162	522
690	1163	520
691	1165	518
692	1166	516
693	1168	515
694	1169	513
695	1171	511
696	1172	509
697	1174	508
698	1176	506
699	1178	505
700	1179	503
701	1181	501
702	1183	499
703	1184	498
704	1186	496
705	1187	494
706	1189	492
707	1191	491
708	1192	489
709	1194	487
710	1195	485
711	1197	484
712	1198	482
713	1200	480
714	1202	479
715	1203	477
716	1205	475
717	1207	474
718	1209	472
719	1210	470
720	1212	469
721	1214	467
722	1215	465
723	1217	463
724	1218	462
725	1220	460
726	1221	458
727	1223	456
728	1224	455
729	1226	453
730	1227	451
731	1228	449
732	1230	448
733	1232	446
734	1233	444
735	1235	443
736	1236	441
737	1237	439
738	1239	437
739	1240	435
740	1241	433
741	1242	432
742	1244	430
743	1245	428
744	1246	426
745	1247	424
746	1249	423
747	1249	421
748	1251	419
749	1252	417
750	1254	415
751	1255	414
752	1257	412
753	1258	410
754	1260	408
755	1261	407
756	1262	405
757	1263	403
758	1265	401
759	1266	399
760	1267	398
761	1269	396
762	1270	394
763	1271	392
764	1272	391
765	1274	389
766	1275	387
767	1276	385
768	1277	383
769	1278	381
770	1280	380
771	1281	378
772	1282	376
773	1284	374
774	1285	373
775	1286	371
776	1287	369
777	1288	367
778	1290	366
779	1291	364
780	1293	362
781	1294	360
782	1296	359
783	1297	357
784	1299	355
785	1301	354
786	1302	352
787	1304	350
788	1305	349
789	1307	347
790	1308	345
791	1309	344
792	1311	342
793	1312	340
794	1314	338
795	1316	337
796	1317	335
797	1319	333
798	1320	332
799	1322	330
800	1323	328
801	1325	327
802	1326	325
803	1328	323
804	1329	322
805	1331	320
806	1332	318
807	1334	317
808	1335	315
809	1337	313
810	1338	312
811	1340	310
812	1342	308
813	1343	307
814	1345	305
815	1346	303
816	1348	302
817	1350	300
818	1352	298
819	1353	297
820	1355	295
821	1356	293
822	1358	292
823	1360	290
824	1361	288
825	1363	287
826	1364	285
827	1366	283
828	1367	282
829	1369	280
830	1371	278
831	1372	277
832	1374	275
833	1376	273
834	1377	272
835	1379	270
836	1381	268
837	1382	267
838	1384	265
839	1385	263
840	1387	262
841	1389	260
842	1390	258
843	1391	257
844	1393	255
845	1394	253
846	1396	252
847	1397	250
848	1399	248
849	1400	247
850	1402	245
851	1403	243
852	1405	242
853	1406	240
854	1408	238
855	1409	237
856	1410	235
857	1411	233
858	1413	231
859	1414	230
860	1416	228
861	1417	226
862	1418	225
863	1419	223
864	1420	221
865	1422	220
866	1423	218
867	1425	216
868	1426	215
869	1427	213
870	1429	211
871	1430	209
872	1431	208
873	1433	206
874	1434	204
875	1435	203
876	1436	201
877	1438	199
878	1439	198
879	1440	196
880	1441	194
881	1443	193
882	1444	191
883	1445	189
884	1447	188
885	1448	186
886	1449	184
887	1451	183
888	1452	181
889	1453	179
890	1455	178
891	1456	176
892	1457	174
893	1458	172
894	1460	171
895	1461	169
896	1462	167
897	1464	166
898	1465	164
899	1466	162
900	1467	161
901	1469	159
902	1470	157
903	1471	156
904	1473	154
905	1474	152
906	1475	151
907	1477	149
908	1478	148
909	1480	146
910	1481	144
911	1483	143
912	1484	141
913	1486	139
914	1487	138
915	1489	136
916	1490	134
917	1491	133
918	1493	131
919	1495	130
920	1496	128
921	1498	126
922	1499	125
923	1501	123
924	1503	121
925	1504	120
926	1506	118
927	1508	117
928	1509	115
929	1511	113
930	1512	112
931	1514	110
932	1515	108
933	1517	107
934	1518	105
935	1520	103
936	1521	102
937	1523	100
938	1524	99
939	1526	97
940	1527	95
941	1529	94
942	1530	92
943	1531	90
944	1533	89
945	1534	87
946	1536	85
947	1537	84
948	1538	82
949	1540	81
950	1541	79
951	1543	77
952	1544	76
953	1546	74
954	1547	72
