,file,Silence,Baby laughter,"Baby cry, infant cry"
182,v71_ns-9,0.1484375,0.1484375,0.5
183,v76_ns-1,0.1484375,0.109375,0.05859375
184,v76_ns-10,0.33203125,0.00390625,0.0
185,v76_ns-11,0.1484375,0.0,0.0
186,v76_ns-12,0.19921875,0.01171875,0.0
187,v76_ns-13,0.26171875,0.01953125,0.0
188,v76_ns-14,0.66796875,0.0,0.0
189,v76_ns-15,0.1484375,0.0,0.0
190,v76_ns-16,0.33203125,0.00390625,0.0
191,v76_ns-17,0.26171875,0.0078125,0.0
192,v76_ns-18,0.19921875,0.00390625,0.00390625
193,v76_ns-19,0.109375,0.04296875,0.01171875
194,v76_ns-2,0.1484375,0.00390625,0.0
195,v76_ns-20,0.1484375,0.04296875,0.5
196,v76_ns-21,0.1484375,0.015625,0.015625
197,v76_ns-22,0.19921875,0.0,0.0
198,v76_ns-23,0.1484375,0.0,0.0
199,v76_ns-24,0.1484375,0.0,0.0
200,v76_ns-25,0.26171875,0.015625,0.01171875
201,v76_ns-26,0.1484375,0.0,0.0
202,v76_ns-27,0.1484375,0.109375,0.05859375
203,v76_ns-28,0.19921875,0.00390625,0.00390625
204,v76_ns-29,0.1484375,0.0,0.0
205,v76_ns-3,0.26171875,0.0,0.0
206,v76_ns-30,0.19921875,0.26171875,0.03125
207,v76_ns-31,0.1484375,0.03125,0.00390625
208,v76_ns-32,0.1484375,0.0,0.0
209,v76_ns-33,0.109375,0.00390625,0.00390625
210,v76_ns-34,0.26171875,0.00390625,0.00390625
211,v76_ns-35,0.80078125,0.0,0.0
212,v76_ns-36,0.19921875,0.00390625,0.03125
213,v76_ns-37,0.19921875,0.00390625,0.109375
214,v76_ns-38,0.1484375,0.5,0.04296875
215,v76_ns-39,0.19921875,0.01953125,0.015625
216,v76_ns-4,0.1484375,0.0,0.0
217,v76_ns-5,0.33203125,0.00390625,0.0
218,v76_ns-6,0.19921875,0.01171875,0.00390625
219,v76_ns-7,0.1484375,0.01171875,0.00390625
220,v76_ns-8,0.1484375,0.0,0.015625
221,v76_ns-9,0.109375,0.0,0.0
222,v78_ns-1,0.1484375,0.0,0.0
223,v78_ns-10,0.19921875,0.00390625,0.0078125
224,v78_ns-11,0.1484375,0.015625,0.00390625
225,v78_ns-12,0.1484375,0.01953125,0.01953125
226,v78_ns-13,0.1484375,0.05859375,0.015625
227,v78_ns-14,0.19921875,0.01171875,0.0078125
228,v78_ns-15,0.19921875,0.05859375,0.19921875
229,v78_ns-16,0.1484375,0.00390625,0.00390625
230,v78_ns-17,0.1484375,0.0078125,0.0078125
231,v78_ns-18,0.19921875,0.03125,0.26171875
232,v78_ns-19,0.1484375,0.08203125,0.33203125
233,v78_ns-2,0.33203125,0.0,0.0
234,v78_ns-3,0.109375,0.0078125,0.00390625
235,v78_ns-4,0.19921875,0.03125,0.00390625
236,v78_ns-5,0.26171875,0.05859375,0.04296875
237,v78_ns-6,0.1484375,0.01171875,0.00390625
238,v78_ns-7,0.109375,0.0078125,0.00390625
239,v78_ns-8,0.1484375,0.00390625,0.00390625
240,v78_ns-9,0.19921875,0.0078125,0.00390625
241,v79_ns-1,0.19921875,0.01171875,0.00390625
242,v79_ns-10,0.1484375,0.015625,0.00390625
243,v79_ns-2,0.19921875,0.0,0.0
244,v79_ns-3,0.1484375,0.05859375,0.00390625
245,v79_ns-4,0.1484375,0.00390625,0.00390625
