video_file,blink_score,movement_score,,movement_norm,,,,,,,,
v27_s-2.mp4,0.8202077113,0.001557226065,46,0.01308979689,,,,,,,,
v27_s-20.mp4,0.8050709367,0.004293678212,47,0.04550967143,,,,,,,,
v27_s-21.mp4,0.7869761698,0.0008836294661,48,0.0118169179,,,,,,,,
v27_s-22.mp4,0.8347158283,0.001673720138,49,0.01400693095,,,,,,,,
v27_s-23.mp4,0.8299454562,0.0006282778566,50,0.00526515793,,,,,,,,
v27_s-24.mp4,0.8246465599,0.00113451653,51,0.009496475192,,,,,,,,
v27_s-25.mp4,0.8086027727,0.004987708794,52,0.04492437252,,,,,,,,
v27_s-26.mp4,0.7771770942,0.005622550196,53,0.04760303484,,,,,,,,
v27_s-27.mp4,0.8141987411,0.001225225058,54,0.01040086003,,,,,,,,
v27_s-28.mp4,0.7798932542,0.01148704682,55,0.09637287013,,,,,,,,
v27_s-29.mp4,0.7911663577,0.01117236825,56,0.0964810373,,,,,,,,
v27_s-3.mp4,0.7674032946,0.000258573498,57,0.002175462255,,,,,,,,
v27_s-30.mp4,0.8081563935,0.0008882267576,58,0.007457456963,,,,,,,,
v27_s-31.mp4,0.8292274276,0.000766461769,59,0.006510655906,,,,,,,,
v27_s-32.mp4,0.7972537751,0.00077135492,60,0.006555190828,,,,,,,,
v27_s-33.mp4,0.7872733474,0.01408348411,61,0.1181829852,,,,,,,,
v27_s-34.mp4,0.8049609177,0,62,0,,,,,,,,
v27_s-35.mp4,0.7940397424,0.003340570841,63,0.02847706313,,,,,,,,
v27_s-36.mp4,0.7863571458,0.004796727675,64,0.04628239247,,,,,,,,
v27_s-37.mp4,0.7767806376,0.002633403537,65,0.02010404349,,,,,,,,
v27_s-38.mp4,0.8401748575,0.009220207761,66,0.08159008797,,,,,,,,
v27_s-39.mp4,0.7774371443,0.03136199089,67,0.2679418181,,,,,,,,
v27_s-4.mp4,0.7857386085,0.004176492445,68,0.04779151193,,,,,,,,
v27_s-40.mp4,0.7852464505,0.001661970086,69,0.01401157409,,,,,,,,
v27_s-41.mp4,0.7818719198,0.002283498468,70,0.03180380884,,,,,,,,
v27_s-42.mp4,0.7911592399,0.01269065073,71,0.1068245538,,,,,,,,
v27_s-43.mp4,0.8299370259,0.001827401445,72,0.01538471218,,,,,,,,
v27_s-44.mp4,0.8151907511,0.0008850423361,73,0.007507458605,,,,,,,,
v27_s-45.mp4,0.7915913177,0.02471389066,74,0.2020298075,,,,,,,,
v27_s-5.mp4,0.7456880411,0.00272306987,75,0.02319123706,,,,,,,,
v27_s-6.mp4,0.8159438223,0.009334371188,76,0.08341308904,,,,,,,,
v27_s-7.mp4,0.7741028753,0.006798351852,77,0.05708041586,,,,,,,,
v27_s-8.mp4,0.7950214272,0.002534737424,78,0.02160577047,,,,,,,,
v27_s-9.mp4,0.8359959175,0.01511642298,79,0.1320219884,,,,,,,,
v46_s-1.mp4,0.6611875725,0.001985360072,80,0.0186082509,,,,,,,,
v46_s-2.mp4,0.6619712915,0.0211898739,81,0.1033586033,,,,,,,,
v46_s-3.mp4,0.6401458738,0.00437105493,82,0.02419183726,,,,,,,,
v46_s-4.mp4,0.6646886518,0.00918898423,83,0.08196737539,,,,,,,,
v46_s-5.mp4,0.7103260388,0.003265866154,84,0.02383022351,,,,,,,,
v46_s-6.mp4,0.6537614763,0.001880842215,85,0.02011758008,,,,,,,,
v46_s-7.mp4,0.6569956024,0.002907635088,86,0.01349232304,,,,,,,,
v53_s-1.mp4,0.4584332424,0.000619501105,87,0.002888228792,,,,,,,,
